"incident_id","category","subcategory","product","vendor","confidence_score","self_resolved","rationale","keywords_identified","root_cause_indicator","root_cause"
"INC47979004","Software","ApplicationErrors","Error","Ivanti","0.8","False","Named application (Ivanti File Director) not running indicates an application error. Fits Software > ApplicationErrors > Error.","['Ivanti File Director', 'Not Running', 'Agent/Service']","Configuration","File Director agent/service stopped or disabled, preventing it from running."
"INC47979046","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Explicitly states no help desk support needed and self-resolved; maps to OperationalEvents > User Self-Resolved.","['self-resolved', 'No Help Desk support']","Unknown","Issue resolved by user; no cause provided."
"INC47979002","CloudInfrastructure","Virtualization_Remote","Virtual Desktop Issues","","0.88","False","myVDI error about display protocol not available is a virtual desktop access issue.","['myVDI', 'display protocol', 'desktop not available', 'VDI']","Infrastructure","VDI display protocol service unavailable or misconfigured on backend, preventing connection."
"INC47979049","UserAccessAuthentication","IdentityAccess","MFA/SSO Issues","","0.68","False","eSSO Adaptive Authentication relates to enterprise SSO/MFA; user unable to find issue indicates authentication-related support.","['eSSO', 'Adaptive Authentication', 'SSO', 'MFA']","User_Error","User unable to locate the appropriate eSSO adaptive authentication issue/ticket; likely misnavigation or misunderstanding."
"INC47979083","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Explicitly self-resolved; no help desk needed.","['self-resolved', 'No Help Desk support']","Unknown","Issue resolved by user; no cause provided."
"INC47979069","UserAccessAuthentication","IdentityAccess","Password Reset","","0.95","False","Request to change/reset MS Domain password directly matches IdentityAccess > Password Reset.","['Password Reset', 'MS Domain', 'Windows']","User_Error","User forgot or needs to change expired domain password."
"INC47979090","UserAccessAuthentication","IdentityAccess","Account Lockout","","0.75","False","Unable to log into NDB suggests account access issue, commonly due to lockout or invalid credentials.","['NDB', 'Network Database', 'Unable to log in', 'account']","Security","User account likely locked or credentials invalid for NDB."
"INC47979056","EndpointManagement","Security_Baselines","Device Control","Ivanti","0.9","False","Ivanti Application Control blocking elevation is a device/application control policy under security baselines.","['Ivanti Application Control', 'elevated rights', 'policy']","Configuration","Ivanti Application Control policy configuration is blocking application elevation."
"INC47979221","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Explicitly self-resolved; no help desk needed.","['self-resolved', 'No Help Desk support']","Unknown","Issue resolved by user; no cause provided."
"INC47979211","WebApplications","UserInterface","Other","","0.65","False","Timesheet Audit Portlet in PPM Optics is a UI component; issue unspecified so classify under UI > Other.","['PPM Optics', 'Timesheet Audit Portlet', 'UI']","Unknown","Unspecified issue with the Timesheet Audit portlet UI."
"INC47979294","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Explicitly self-resolved; no help desk needed.","['self-resolved', 'No Help Desk support']","Unknown","Issue resolved by user; no cause provided."
"INC47979301","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Ticket explicitly states no help desk support needed and self-resolved; maps directly to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk support']","User_Error","Issue resolved by user without assistance; likely minor user action/configuration corrected."
"INC47979317","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Description indicates self-resolved; aligns with ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk support']","User_Error","User was able to correct the issue on their own; likely a user action or simple setting fix."
"INC47979219","Network","ConnectivityIssues","General","PuTTY","0.75","False","‘Unable to connect to server’ with ‘PuTTY Fatal Error’ suggests SSH connection failure due to network/firewall connectivity; fits Network > ConnectivityIssues > General.","['PuTTY Fatal Error', 'Unable to connect', 'Server', 'SSH']","Infrastructure","Network or firewall issue preventing SSH connectivity to the server via PuTTY."
"INC47979321","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Marked as self-resolved, no help desk needed; matches User Self-Resolved informational event.","['self-resolved', 'no help desk support']","User_Error","User corrected the problem without support; likely minor configuration or usage issue."
"INC47979333","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Self-resolved per description; ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk support']","User_Error","Issue addressed by user action without assistance."
"INC47979338","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Ticket indicates self-resolved; fits informational event for user self-resolution.","['self-resolved', 'no help desk support']","User_Error","Likely simple user or configuration correction resolved the issue."
"INC47979282","Network","VPN_RemoteAccess","Cisco Secure","Cisco","0.85","False","Cannot connect to VPN (Cisco) on Windows over wired connection; aligns to Network > VPN_RemoteAccess > Cisco Secure.","['Cannot connect', 'VPN', 'Cisco', 'Windows', 'Wired', 'Personal']","Infrastructure","Cisco Secure client unable to establish VPN over wired network, likely due to local network restrictions or connectivity issues."
"INC47979079","Network","VPN_RemoteAccess","Cisco Secure","Cisco","0.85","False","VPN connectivity problem with Cisco on Hathway Broadband wireless; matches VPN remote access using Cisco Secure.","['Cannot connect', 'VPN', 'Cisco', 'Windows', 'Hathway Broadband', 'Wireless']","Third_Party","Home ISP (Hathway Broadband) wireless connectivity or policies interfering with VPN connection."
"INC47979348","EndUserSupport","SupportRequests","Service Requests","","0.6","False","‘Common Issues for New or Replacement Computers’ suggests general support/service request for device setup/troubleshooting; maps to EndUserSupport > SupportRequests > Service Requests.","['Common issues', 'New computer', 'Replacement computer']","Configuration","Typical initial device setup/configuration issues associated with new or replacement computers."
"INC47979028","Network","VPN_RemoteAccess","Cisco Secure","Cisco","0.9","False","‘Cisco Secure Client - No Connection - Granite - Wired’ clearly indicates VPN client connection failure with Cisco over Granite wired network; VPN_RemoteAccess > Cisco Secure.","['Cisco Secure Client', 'No connection', 'Granite', 'Wired', 'VPN']","Third_Party","Granite provider/network conditions blocking or disrupting Cisco Secure VPN connection."
"INC47979467","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Ticket explicitly states no help desk support needed and was self-resolved, matching ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk support']","Unknown","User resolved issue without assistance; no specific cause stated."
"INC47979436","EndUserSupport","SupportRequests","How-To/Config Questions","","0.9","False","Request is a Windows how-to (reactivate MS domain ID), which fits EndUserSupport > SupportRequests > How-To/Config Questions.","['Windows', 'How To', 'reactivate', 'domain ID']","User_Error","User needs guidance on reactivating an MS domain ID (training/how-to)."
"INC47979491","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Marked as self-resolved; no help desk support needed.","['self-resolved', 'no help desk support']","Unknown","User resolved issue without assistance; no specific cause stated."
"INC47979497","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Marked as self-resolved; no help desk support needed.","['self-resolved', 'no help desk support']","Unknown","User resolved issue without assistance; no specific cause stated."
"INC47979500","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Marked as self-resolved; no help desk support needed.","['self-resolved', 'no help desk support']","Unknown","User resolved issue without assistance; no specific cause stated."
"INC47979346","TelephonyContactCenter","ContactCenter","Agent Desktop","Genesys","0.88","False","Issue in Genesys contact center where agent cannot see call control options aligns with TelephonyContactCenter > ContactCenter > Agent Desktop.","['Genesys', 'disconnect', 'transfer', 'options missing']","Configuration","Likely Genesys agent profile/permissions or UI configuration hiding call control options."
"INC47979513","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Marked as self-resolved; no help desk support needed.","['self-resolved', 'no help desk support']","Unknown","User resolved issue without assistance; no specific cause stated."
"INC47978011","Network","VPN_RemoteAccess","Cisco Secure","Cisco","0.88","False","Cisco Secure Client host scan behavior is a VPN client issue; matches Network > VPN_RemoteAccess > Cisco Secure.","['Cisco Secure Client', 'Host Scan', 'stuck', 'mission complete']","Configuration","Cisco Secure Client posture/host scan policy or module misconfiguration causing scan to loop or complete unexpectedly."
"INC47978002","ProcessInformational","OperationalEvents","Informational Ticket","","0.8","False","Described as testing EVA Live chat, indicating an informational/test ticket rather than an outage or error.","['Testing', 'EVA', 'Live chat']","Unknown","Test activity; no incident cause indicated."
"INC47978086","TelephonyContactCenter","UnifiedCommunications","Headset Configuration","","0.9","False","Headset troubleshooting on Windows matches TelephonyContactCenter > UnifiedCommunications > Headset Configuration.","['Headsets', 'Troubleshoot', 'Windows']","Configuration","Likely incorrect headset settings or Windows audio device configuration/driver issues."
"INC47978037","EndUserSupport","SupportRequests","How-To/Config Questions","","0.65","False","User-facing guidance about common issues during new or replacement computer setup aligns to support request for configuration/how-to assistance.","['new computer', 'replacement', 'common issues', 'setup', 'configuration']","Configuration","Device not fully configured post-replacement; user needs guidance to complete setup."
"INC47978108","EndUserSupport","SupportRequests","Access Requests","GitHub","0.92","False","Request for access to GitHub Copilot is an access provisioning support request.","['GitHub Copilot', 'access', 'license', 'provisioning']","Security","Access to Copilot not provisioned for the user (license/permissions missing)."
"INC47978082","EndUserSupport","SupportRequests","How-To/Config Questions","","0.72","False","Podman access and setup issues indicate end-user configuration and permission guidance.","['Podman', 'access', 'setup', 'configuration']","Configuration","Podman requires configuration and appropriate permissions; user setup incomplete/misconfigured."
"INC47978145","EndUserSupport","SupportRequests","Access Requests","","0.85","False","Submitting a restricted application request via AppStore is an access/approval request.","['AppStore', 'restricted application', 'request', 'access']","Security","Restricted application access requires approval workflow; user lacks access until request is processed."
"INC47978316","ProcessInformational","OperationalEvents","Abandoned Calls","","0.9","False","Incident describes an abandoned live chat session, which fits operational event tracking of abandoned interactions.","['abandoned', 'live chat', 'session']","User_Error","User ended or left the live chat before completion."
"INC47978384","Software","ApplicationErrors","AppStore Install Failure","","0.9","False","Title explicitly references AppStore troubleshooting for install stuck/failed issues, mapping to AppStore Install Failure.","['AppStore', 'install failed', 'stuck installing', 'existing requests', 'troubleshoot']","Configuration","MDM/AppStore policy or existing request conflict causing installation to fail or stall."
"INC47978375","ProcessInformational","OperationalEvents","Abandoned Calls","","0.9","False","Internal ticket processing for an abandoned live chat indicates an operational event of an abandoned interaction.","['ITSD internal', 'abandoned', 'live chat']","User_Error","Live chat session was abandoned by the user before resolution."
"INC47978286","Hardware","DeviceFailure","Laptop","","0.95","False","Hardware-related touchpad issues on a laptop map to hardware device failure for laptop.","['hardware', 'laptop', 'touchpad', 'issues']","Infrastructure","Laptop touchpad malfunction (hardware fault or driver failure)."
"INC47978458","EndpointManagement","Security_Baselines","Device Control","Ivanti","0.9","False","Ivanti Application Control enforcing security policy against unauthorized software aligns with endpoint device control.","['Ivanti Application Control', 'unauthorized software', 'Optum Security']","Security","Application blocked due to endpoint security policy (unauthorized software)."
"INC47978447","EndpointManagement","Security_Baselines","Disk Encryption","Microsoft","0.95","False","BitLocker recovery key prompt after startup is related to disk encryption management.","['BitLocker', 'recovery key', 'startup', 'disk encryption']","Change_Related","TPM/BIOS change or recent OS update triggered BitLocker recovery at boot."
"INC47978475","ProcessInformational","OperationalEvents","Abandoned Calls","Cisco Secure","0.9","False","Ticket indicates an abandoned live chat rather than a technical VPN/client issue; fits operational event 'Abandoned Calls'.","['Cisco Secure Client', 'Abandoned', 'Live Chat']","User_Error","User ended/abandoned the live chat session before resolution."
"INC47978462","ProcessInformational","OperationalEvents","Informational Ticket","Apple macOS","0.8","False","Describes generic unsupported Mac application information; aligns with informational/operational ticket rather than a specific failure.","['Mac Application', 'Unsupported', 'Information']","Configuration","Application is not supported per enterprise/macOS policy; ticket seeks information."
"INC47978500","UserAccessAuthentication","IdentityAccess","MFA/SSO Issues","RxClaim (Catamaran)","0.75","False","Access/login issues for a specific application commonly relate to identity (SSO/MFA or provisioning) rather than app errors.","['RxClaim', 'Catamaran', 'Access', 'Login']","Security","Account provisioning or SSO/MFA authentication issues causing login failures to RxClaim."
"INC47978586","CloudInfrastructure","Virtualization_Remote","Virtual Desktop Issues","VMware Horizon","0.9","False","Horizon View Client unrecoverable/loading failed is a virtual desktop client issue under virtualization/remote.","['Horizon View', 'Client', 'Unrecoverable', 'Loading Failed']","Software_Bug","Horizon client encountered an unrecoverable error/crash leading to load failure."
"INC47978669","EndUserSupport","SupportRequests","How-To/Config Questions","JFrog SaaS","0.8","False","General information and troubleshooting request for Enterprise Registry (JFrog) is a how-to/config support request.","['Enterprise Registry', 'JFrog SaaS', 'Information', 'Troubleshooting']","Unknown","Informational/troubleshooting request; no specific failure described."
"INC47978684","UserAccessAuthentication","IdentityAccess","MFA/SSO Issues","Microsoft","0.95","False","Registering Microsoft Authenticator or SMS for MFA is an identity/MFA setup issue.","['Microsoft Authenticator', 'Register', 'MFA', 'SMS']","Security","User needs to enroll/register MFA method (Authenticator or SMS), often due to new device or initial setup."
"INC47978677","Software","ApplicationErrors","Other","Microsoft Windows","0.75","False","Generic problems with the Windows Sticky Notes app fit application errors; type unspecified so 'Other'.","['Windows', 'Sticky Notes', 'Issues']","Software_Bug","Sticky Notes application instability/errors impacting usage."
"INC47978722","DataStorage","DatabaseIssues","Connectivity","Oracle","0.95","False","ORA-12514 specifically indicates a database connectivity/listener/service name issue.","['Oracle', 'ORA-12514', 'Cannot connect', 'Database']","Configuration","Incorrect service name/TNS configuration or listener not registering service, causing connection failure."
"INC47978472","ProcessInformational","OperationalEvents","Service Catalog/CMDB","UHG AppStore","0.85","False","Request to add or retire an AppStore application aligns with service catalog/CMDB operational management.","['AppStore', 'Add', 'Retire', 'Application']","Change_Related","Catalog change request to add/retire an application."
"INC47978743","Software","ApplicationErrors","AppStore Install Failure","UHG AppStore","0.95","False","Describes AppStore install stuck/failed/completed issues—maps directly to AppStore install failure under application errors.","['AppStore', 'Install', 'Stuck', 'Failed', 'Existing Requests']","Configuration","AppStore deployment policy/cache/configuration causing install to fail or get stuck."
"INC47978587","ProcessInformational","OperationalEvents","Informational Ticket","","0.85","False","The ticket states Postman (AbleTo) is retired, which is an informational/operational announcement rather than a failure.","['Postman', 'AbleTo', 'Retired', 'Informational']","Change_Related","Service retired as part of change/release process."
"INC47978773","Hardware","DeviceFailure","Laptop","","0.75","False","Laptop prompting for startup menu suggests a hardware/boot device issue on the laptop, aligning with hardware device failure.","['Laptop', 'startup menu', 'hardware', 'boot']","Configuration","Boot order/BIOS configuration or drive issue causing startup menu prompt."
"INC47978813","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Explicitly indicates no help desk support needed and self-resolved by user.","['self-resolved', 'no help desk support']","Unknown","Issue resolved by user; specific cause not provided."
"INC47978609","EndpointManagement","Security_Baselines","Disk Encryption","","0.9","False","BitLocker recovery key prompt is a disk encryption baseline/security configuration issue managed via endpoint security.","['BitLocker', 'Recovery Key', 'Startup', 'Disk Encryption']","Change_Related","BitLocker recovery triggered due to TPM/boot configuration change or recent update."
"INC47978874","ProcessInformational","OperationalEvents","Abandoned Calls","","0.85","False","Abandoned live chat is an operational event of an interaction being abandoned, mapped to Abandoned Calls.","['Abandoned', 'Live Chat']","User_Error","User ended the chat or disconnected before resolution."
"INC47978946","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Explicitly indicates no help desk support needed and self-resolved by user.","['self-resolved', 'no help desk support']","Unknown","Issue resolved by user; specific cause not provided."
"INC47978850","Software","ApplicationErrors","AppStore Install Failure","","0.9","False","Describes issues with AppStore installations being stuck or failing, matching AppStore Install Failure.","['AppStore', 'install', 'stuck', 'failed', 'existing requests']","Configuration","Software distribution or policy/config issue causing install to fail or hang."
"INC47978978","ProcessInformational","OperationalEvents","Informational Ticket","","0.8","False","Marked informational; Adobe not working after update is being reported as an informational notice rather than a troubleshooting request.","['Informational', 'Adobe', 'update', 'not working']","Change_Related","Adobe application malfunction after recent update."
"INC47978942","UserAccessAuthentication","IdentityAccess","MFA/SSO Issues","","0.75","False","Cannot login to CPS/Jacada likely relates to authentication/SSO problems aligned with identity access issues.","['CPS', 'Jacada', 'cannot login', 'authentication']","Security","SSO/MFA authentication failure preventing login."
"INC47978977","UserAccessAuthentication","IdentityAccess","MFA/SSO Issues","","0.9","False","SAW access and login issues typically correspond to MFA/SSO authentication problems.","['SAW', 'Access', 'Login Issues', 'SSO', 'MFA']","Security","MFA/SSO issue blocking SAW access and login."
"INC47979000","Software","ApplicationErrors","Error","","0.8","False","NDB appears to be an application; 'unable to launch' indicates an application-level error at start.","['NDB', 'unable to launch', 'application']","Software_Bug","Application launch fails due to an error or missing dependencies."
"INC47978424","EndUserSupport","SupportRequests","Service Requests","","0.9","False","Generic request for Help Desk support fits a support/service request rather than a technical incident.","['Help Desk', 'support request']","Unknown","General help request—no specific incident cause provided."
"INC47978988","Hardware","PeripheralMalfunction","Docking Station","","0.95","False","Hardware dock issue explicitly stated; tied to BIOS update affecting peripheral behavior.","['Hardware', 'Dock', 'BIOS update']","Change_Related","Recent BIOS update caused incompatibility or misbehavior with the docking station."
"INC47979014","Network","ConnectivityIssues","LAN/Wired","","0.75","False","Cannot connect on a wired connection; mentions Cisco and Brighthouse, indicating general wired connectivity problems.","['VPN', 'Internet', 'Cisco', 'Windows', 'Brighthouse', 'Wired']","Third_Party","Likely ISP (Brighthouse) degradation/outage affecting wired connectivity, preventing VPN/Internet access."
"INC47978641","UserAccessAuthentication","IdentityAccess","Account Lockout","","0.7","False","'Unable to Login' to Imaging (PHS) points to an identity/access issue; account lockout is a common cause.","['Imaging', 'PHS', 'Unable to Login']","Security","Account likely locked due to repeated failed authentication or security policy enforcement."
"INC47979197","ProcessInformational","OperationalEvents","User Self-Resolved","","0.85","True","'Customer Withdrawn' indicates the requester withdrew the ticket; no technical issue to address.","['Customer Withdrawn']","Unknown","Requester withdrew the incident; no underlying technical cause provided."
"INC47979204","EndpointManagement","Security_Baselines","Disk Encryption","","0.95","False","BitLocker recovery prompt is directly related to disk encryption policies/baselines.","['BitLocker', 'Recovery Key', 'Startup']","Configuration","TPM/BIOS or disk configuration change triggered BitLocker recovery at boot."
"INC47979210","ProcessInformational","OperationalEvents","Informational Ticket","","0.8","False","Described as 'General Information and Troubleshooting' for Guest WiFi, which aligns to informational rather than a specific incident.","['GuestAccess', 'WiFi', 'Information', 'Troubleshooting']","Unknown","Informational/troubleshooting request; no specific failure cause identified."
"INC47979322","ProcessInformational","OperationalEvents","Informational Ticket","","0.95","True","Explicitly states information-only and no further support needed.","['Self-Service', 'Information only', 'No support needed']","Unknown","Informational ticket; no issue to diagnose."
"INC47979111","Network","ConnectivityIssues","General","","0.9","False","Generic 'Cannot connect to internet' maps to network connectivity issues (general).","['Cannot connect', 'internet']","Infrastructure","Local network or ISP outage/degradation leading to loss of internet connectivity."
"INC47979271","ProcessInformational","OperationalEvents","Documentation Request","","0.95","False","Ticket is marked informational and specifically requests submitting a documentation-only ticket (KB0089868), which maps to Documentation Request under OperationalEvents.","['Informational', 'Documentation Only', 'KB0089868']","Unknown","Documentation-only informational ticket; no technical incident indicated."
"INC47979125","UserAccessAuthentication","IdentityAccess","MFA/SSO Issues","","0.75","False","IRIS login/access issues point to authentication/SSO problems rather than application bugs; maps to IdentityAccess MFA/SSO Issues.","['IRIS', 'login', 'access']","Security","Authentication/SSO issue preventing IRIS login or access (e.g., permissions/MFA token)."
"INC47979358","ProcessInformational","OperationalEvents","User Self-Resolved","","0.95","True","Explicitly states no help desk support needed and self-resolved; maps to User Self-Resolved under OperationalEvents.","['self-resolved', 'No Help Desk support needed']","Unknown","Issue resolved by user without support; no specific technical cause provided."
"INC47979269","UserAccessAuthentication","IdentityAccess","MFA/SSO Issues","","0.9","False","eSSO registration required for authentication clearly relates to SSO enrollment/identity access configuration.","['eSSO', 'registration', 'authentication']","Configuration","User’s eSSO not registered/enrolled, blocking authentication."
"INC47979203","UserAccessAuthentication","IdentityAccess","MFA/SSO Issues","Microsoft","0.9","False","Microsoft Authenticator not receiving push/SMS is an MFA delivery/authentication issue.","['Microsoft Authenticator', 'SMS', 'notifications']","Security","MFA push/SMS delivery failure to phone (notification settings/network/carrier)."
