in_id,brief_description,opened_at,closed_at,action,resolution,ai_l4,ai_l4_confidence,ai_l4_resolution_action,ai_l4_actionable,ai_l4_actionability_reason,ai_l4_rationale,category,subcategory,product,confidence_score,rationale,keywords_identified,self_resolved,root_cause_indicator
INC48740745,No Help Desk support needed: self-resolved,2026-03-03 16:46:23,2026-03-03 16:46:25,Conversation ID a5df2b4c-69eb-4a83-88a3-665d1aef87ec   Claim number: FN31451573   DT - spire's not working - Error notification. We hit a snag. Unexpected Error Occurred in the Policies Card. Please try again. If problem persists please contact the help desk.,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.96,Ticket explicitly states no help desk needed; self-resolved.,"['self-resolved', 'no help desk']",True,Unknown
INC48695825,No Help Desk support needed: self-resolved,2026-03-02 07:13:54,2026-03-02 07:13:55,MANDATORY RESTAR\,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,1.0,Ticket states self-resolved; categorized as informational operational event.,['self-resolved'],True,User_Error
INC48737969,No Help Desk support needed: self-resolved,2026-03-03 14:58:50,2026-03-03 14:58:52,call got disconnected while verifying the info,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Ticket indicates self-resolved; per taxonomy classify as User Self-Resolved.,"['self-resolved', 'no help desk support']",True,Unknown
INC48739632,No Help Desk support needed: self-resolved,2026-03-03 15:58:06,2026-03-03 15:58:08,Call got disconnected due to avaya issue,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Clearly marked self-resolved; categorized as informational operational event.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48740334,No Help Desk support needed: self-resolved,2026-03-03 16:26:54,2026-03-03 16:26:56,soft avaya issue call dropped,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Ticket indicates self-resolved; no support needed.,['self-resolved'],True,Unknown
INC48698401,No Help Desk support needed: self-resolved,2026-03-02 08:29:50,2026-03-02 08:29:52,Abusive Caller was reported for call: wlssuser Called me a Name with cursing word,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,1.0,Incident explicitly states no help desk support needed and self-resolved.,"['self-resolved', 'no help desk support']",True,User_Error
INC48711414,No Help Desk support needed: self-resolved,2026-03-02 14:09:25,2026-03-02 14:09:27,unable to pullup citrix,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states self-resolved; no help desk support needed.,['self-resolved'],True,Unknown
INC48715372,No Help Desk support needed: self-resolved,2026-03-02 16:25:02,2026-03-02 16:25:03,CALL GOT DISCONNECTED DUE TO AVAYA ISSUE,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,1.0,"Description indicates no support needed and self-resolved, mapping to User Self-Resolved informational event.","['self-resolved', 'No Help Desk support needed']",True,User_Error
INC48700376,No Help Desk support needed: self-resolved,2026-03-02 09:18:09,2026-03-02 09:18:11,CALL DROPPED,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket states self-resolved; informational only.,"['self-resolved', 'no help desk support']",True,User_Error
INC48697486,No Help Desk support needed: self-resolved,2026-03-02 08:06:00,2026-03-02 08:06:03,NEED TO REPULL UP GENESYS CANNOT UNMUTE OR DISCONNECT CALL,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Ticket explicitly states no Help Desk support needed and self-resolved.,"['self-resolved', 'no help desk']",True,Unknown
INC48742040,No Help Desk support needed: self-resolved,2026-03-03 18:40:32,2026-03-03 18:40:34,submit ticket,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,"Ticket explicitly states 'No Help Desk support needed: self-resolved', which maps directly to ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'No Help Desk support needed']",True,User_Error
INC48708958,No Help Desk support needed: self-resolved,2026-03-02 13:02:21,2026-03-02 13:02:22,GHOST CALL CALLER IS NOT RESPONDING Misdirect Case # 145453092 has been created.,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Self-resolved noted in the description; informational only.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48726660,No Help Desk support needed: self-resolved,2026-03-03 09:36:20,2026-03-03 09:36:22,"3/3/2026 at 8:26 am MST, genesys lost connection. I had to clear team and edge cache. Then reopen all applications. and send a system outage email for IEX exception. log back into genesys at 8:35 am MST.",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Marked as self-resolved; no help desk support needed.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48730275,No Help Desk support needed : self-resolved,2026-03-03 11:10:51,2026-03-03 11:10:53,VPN connection issues,Self-Resolved Ticket Closed via IVR,,,,,,,ProcessInformational,,User Self-Resolved,1.0,Marked as self-resolved; maps to User Self-Resolved.,['self-resolved'],True,Unknown
INC48710142,No Help Desk support needed: self-resolved,2026-03-02 13:33:21,2026-03-02 13:33:23,Call Dropped was reported for call: 7632743899,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Explicitly marked self-resolved; informational only.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48735110,No Help Desk support needed: self-resolved,2026-03-03 13:30:59,2026-03-03 13:31:00,GENETIC TESTING,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Ticket explicitly states no Help Desk support needed and self-resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48699432,No Help Desk support needed: self-resolved,2026-03-02 08:56:26,2026-03-02 08:56:28,Dead air outbound call at 9:56 AM,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,"Ticket explicitly states 'No Help Desk support needed: self-resolved', indicating an informational event.","['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48726680,No Help Desk support needed: self-resolved,2026-03-03 09:36:56,2026-03-03 09:36:57,Faulty monitor replacement process,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Marked as self-resolved; no help desk support needed.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48709646,No Help Desk support needed: self-resolved,2026-03-02 13:19:59,2026-03-02 13:20:02,submit ticket,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Explicitly noted 'self-resolved'.,['self-resolved'],True,Unknown
INC48707355,No Help Desk support needed: self-resolved,2026-03-02 12:17:06,2026-03-02 12:17:08,Member was unresponsive during our call. Disconnected and called member back. Left a detailed VM.,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Ticket explicitly states 'No Help Desk support needed: self-resolved'. This maps to ProcessInformational > OperationalEvents > User Self-Resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48698961,No Help Desk support needed: self-resolved,2026-03-02 08:44:20,2026-03-02 08:44:22,genesys wouldnt connect,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,1.0,Marked as self-resolved by user.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48725005,No Help Desk support needed: self-resolved,2026-03-03 08:55:36,2026-03-03 08:55:38,"Issue: Laptop Restart before login to genesys  Name: Acena, Yhanieka Ezel M. EID : 002263328 Time : 8:27am-8:34am cst Login Time: 8:27am cst On ready aux: 8:34am cst Call affected: none ITSS HC Login - Help center",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no Help Desk support needed and self-resolved; fits informational operational event 'User Self-Resolved'.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48699319,No Help Desk support needed: self-resolved,2026-03-02 08:53:45,2026-03-02 08:53:46,snag error occured when pulling up the member info/ bts done// reported to sup/call disconnected/ Misdirect Case # 145345584 has been created./ Call Dropped was reported for call: 8772552940,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Self-resolved ticket; informational only.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48698220,No Help Desk support needed: self-resolved,2026-03-02 08:24:40,2026-03-02 08:24:41,Name: NA MS ID: EVILLAB1 Issue: GDC  Caller ID / ANI:  (559)238-4855 UUID 00067045971772461335 LOB: PPHD  Site: Alabang  Floor: 20th RTO/WAH: WAH,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states self-resolved and no Help Desk support needed.,"['self-resolved', 'no Help Desk support']",True,Unknown
INC48740256,No Help Desk support needed: self-resolved,2026-03-03 16:23:25,2026-03-03 16:23:27,Call got disconnected due to network issue    ANI: 2165262399  ANI 5168797969,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket states self-resolved; fits User Self-Resolved under OperationalEvents.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48713921,No Help Desk support needed: self-resolved,2026-03-02 15:29:21,2026-03-02 15:29:22,VPN issue,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Description explicitly states no Help Desk needed and self-resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48711848,No Help Desk support needed: self-resolved,2026-03-02 14:23:41,2026-03-02 14:23:43,ELGS 500 error,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,1.0,Ticket states self-resolved and no help desk support needed.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48740243,No Help Desk support needed: self-resolved,2026-03-03 16:22:57,2026-03-03 16:22:58,"12:21PM HST - auto answer not working, reset phones again",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,"Self-resolved, no help desk support needed; matches User Self-Resolved.","['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48732314,No Help Desk support needed: self-resolved,2026-03-03 12:07:27,2026-03-03 12:07:29,"Was not able to receive/answer the call due to system error on my end, Microsoft not loading. Had to restart.",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no Help Desk support needed and self-resolved.,"['self-resolved', 'no help desk']",True,Unknown
INC48714968,No Help Desk support needed : self-resolved,2026-03-02 16:08:16,2026-03-02 16:08:17,Microsoft Edge automation,Self-Resolved Ticket Closed via IVR,,,,,,,ProcessInformational,,User Self-Resolved,0.98,"Ticket explicitly states 'No Help Desk support needed: self-resolved', which maps to informational operational event: user self-resolved.","['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48695611,No Help Desk support needed: self-resolved,2026-03-02 07:05:46,2026-03-02 07:05:47,Genesys not pulling up,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no help desk support needed and was self-resolved.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48699894,No Help Desk support needed: self-resolved,2026-03-02 09:06:43,2026-03-02 09:06:45,I had to restart computer,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Ticket explicitly states no help desk support needed and self-resolved.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48723108,No Help Desk support needed: self-resolved,2026-03-03 07:59:36,2026-03-03 07:59:38,GENESYS ISSUE,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,1.0,Ticket explicitly states self-resolved; no help desk support needed.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48725652,No Help Desk support needed: self-resolved,2026-03-03 09:13:36,2026-03-03 09:13:38,issues connecting with vpn,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket notes self-resolved; classify as OperationalEvents > User Self-Resolved.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48738571,No Help Desk support needed: self-resolved,2026-03-03 15:18:41,2026-03-03 15:18:44,ghost call/ no one answered on the other line - was about to provide ghost spiel but rep hang up the call|end,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket indicates self-resolved; classify as user self-resolved informational event.,"['self-resolved', 'no help desk support']",True,Unknown
INC48723382,No Help Desk support needed: self-resolved,2026-03-03 08:06:18,2026-03-03 08:06:20,Citrix Issue,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Ticket explicitly states no help desk support needed and self-resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48737247,No Help Desk support needed: self-resolved,2026-03-03 14:35:33,2026-03-03 14:35:35,gensys error,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Ticket explicitly states no help desk support needed and self-resolved; matches User Self-Resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48714210,No Help Desk support needed: self-resolved,2026-03-02 15:39:34,2026-03-02 15:39:35,"Creating this ticket for a dropped call. Someone answered, but call suddenly got dropped.",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Subject states self-resolved; no service desk action required.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48704410,No Help Desk support needed: self-resolved,2026-03-02 10:58:53,2026-03-02 10:58:55,gene error while onset of call,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Ticket explicitly states no help desk support needed; self-resolved.,"['self-resolved', 'no help desk']",True,Unknown
INC48706449,No Help Desk support needed: self-resolved,2026-03-02 11:52:59,2026-03-02 11:53:02,DEAD AIR,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket indicates it was self-resolved; no support needed.,"['self-resolved', 'no help desk needed']",True,Unknown
INC48715555,No Help Desk support needed: self-resolved,2026-03-02 16:33:32,2026-03-02 16:33:34,WHEN I WAS STILL LOOKING FOR A ACTIVE ACCOUNT FOR THE MEMBE SUDDUNLY DISCONNECTED THE CALL,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,1.0,Ticket explicitly states no Help Desk support needed and self-resolved; maps to ProcessInformational > OperationalEvents > User Self-Resolved.,"['self-resolved', 'No Help Desk support needed']",True,User_Error
INC48695977,No Help Desk support needed: self-resolved,2026-03-02 07:18:35,2026-03-02 07:18:38,internet,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,No Help Desk support needed; self-resolved.,"['self-resolved', 'no Help Desk support needed']",True,Unknown
INC48712198,No Help Desk support needed: self-resolved,2026-03-02 14:34:56,2026-03-02 14:34:58,call disconnected,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Self-resolved ticket; aligns to informational 'User Self-Resolved'.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48710485,No Help Desk support needed: self-resolved,2026-03-02 13:42:49,2026-03-02 13:42:51,call dropped,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no help desk support needed and self-resolved.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48740670,No Help Desk support needed: self-resolved,2026-03-03 16:41:53,2026-03-03 16:41:55,genesys reconnecting; cannot reach page. error shows: Object object,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,1.0,Clearly labeled as self-resolved with no help desk support required.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48713242,No Help Desk support needed: self-resolved,2026-03-02 15:05:37,2026-03-02 15:05:39,"Was about to speak but cannot unmute my mic, put the pt on hold first while I troubleshoot my mic. Pt disconnect the call",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Explicitly marked self-resolved; no assistance required.,"['self-resolved', 'no Help Desk support needed']",True,User_Error
INC48708415,No Help Desk support needed: self-resolved,2026-03-02 12:46:47,2026-03-02 12:46:49,"member cant hear me properly resulting to member decided to callback, headset issue",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,No Help Desk support needed and self-resolved per incident text.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48707296,No Help Desk support needed: self-resolved,2026-03-02 12:15:45,2026-03-02 12:15:47,"system connectivity - voice connection issues, reset system",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,1.0,Ticket states self-resolved; fits User Self-Resolved informational category.,"['self-resolved', 'no help desk']",True,Unknown
INC48722504,No Help Desk support needed: self-resolved,2026-03-03 07:36:14,2026-03-03 07:36:16,Misdirect Case # 145566106 has been created.  Call Dropped was reported for call: 2405498015  Call drop in the middle of providing the CPT codes.,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Self-resolved noted; aligns with OperationalEvents > User Self-Resolved.,['self-resolved'],True,Unknown
INC48709376,No Help Desk support needed: self-resolved,2026-03-02 13:11:53,2026-03-02 13:11:56,"After the beep, the member ended the call.",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states 'No Help Desk support needed: self-resolved'.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48732035,No Help Desk support needed: self-resolved,2026-03-03 11:59:31,2026-03-03 11:59:33,unable to mute headset,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Self-resolved per description; fits ProcessInformational -> OperationalEvents -> User Self-Resolved.,[],True,
INC48723384,No Help Desk support needed: self-resolved,2026-03-03 08:06:19,2026-03-03 08:06:21,System Auto Update,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,1.0,Ticket explicitly states self-resolved; no help desk support needed.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48712781,No Help Desk support needed: self-resolved,2026-03-02 14:52:34,2026-03-02 14:52:36,laptop restart - iris not responding,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Marked as self-resolved with no Help Desk support needed.,"['self-resolved', 'no Help Desk support needed']",True,User_Error
INC48710418,No Help Desk support needed: self-resolved,2026-03-02 13:40:51,2026-03-02 13:40:53,genesis intermittent connection/audio issue. pc restarted around 1:38 pm cst.,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no Help Desk support needed and was self-resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48722154,No Help Desk support needed: self-resolved,2026-03-03 07:21:08,2026-03-03 07:21:10,Unable to end the call due to Genesys issue,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket indicates self-resolved; no support required.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48739680,No Help Desk support needed : self-resolved,2026-03-03 15:59:46,2026-03-03 15:59:48,Epic,Self-Resolved Ticket Closed via IVR,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Text states self-resolved; this is an informational user self-resolution event.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48703535,No Help Desk support needed: self-resolved,2026-03-02 10:37:17,2026-03-02 10:37:19,ghost call,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Incident explicitly states no help desk support needed and self-resolved.,"['self-resolved', 'no help desk support']",True,Unknown
INC48708981,No Help Desk support needed: self-resolved,2026-03-02 13:02:52,2026-03-02 13:02:54,vpn connection lost,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Content indicates self-resolution; informational.,"['self-resolved', 'no help desk support needed']",True,Unknown
INC48721618,No Help Desk support needed: self-resolved,2026-03-03 06:57:36,2026-03-03 06:57:37,calls got dropped due to hard avaya issue,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Explicitly marked self-resolved with no help desk support needed.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48697538,No Help Desk support needed: self-resolved,2026-03-02 08:07:18,2026-03-02 08:07:20,unable to log in untill reset iset password,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Ticket explicitly states no help desk support needed and self-resolved.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48723059,No Help Desk support needed: self-resolved,2026-03-03 07:57:56,2026-03-03 07:57:58,first call -can hear beep sound but no response on the other line,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no Help Desk support needed and self-resolved; maps to ProcessInformational > OperationalEvents > User Self-Resolved.,"['self-resolved', 'no Help Desk support']",True,Unknown
INC48715468,No Help Desk support needed: self-resolved,2026-03-02 16:30:16,2026-03-02 16:30:19,"on set of the call no response on the other line hear some background noise, ghost spiel done// uuid: 00100529921772490189// wah // Ping 237 ms  Jitter 7.37 ms Download18.2Mbps Upload35.6Mbps",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,"Ticket indicates self-resolved, requiring no help desk support; matches User Self-Resolved.","['self-resolved', 'no support needed']",True,Unknown
INC48723929,No Help Desk support needed: self-resolved,2026-03-03 08:23:06,2026-03-03 08:23:08,call got disconnected while verifying the info,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Ticket states self-resolved; no support required.,['self-resolved'],True,User_Error
INC48739342,No Help Desk support needed: self-resolved,2026-03-03 15:46:40,2026-03-03 15:46:42,CALL GET DISCONNECTED DUE TO HARD AVAYA ISSUE',Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Clearly marked as self-resolved; informational only.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48699680,No Help Desk support needed: self-resolved,2026-03-02 09:02:21,2026-03-02 09:02:22,as/400 password reset,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Explicitly states no Help Desk support needed and self-resolved.,"['self-resolved', 'No Help Desk support needed']",False,User_Error
INC48731895,No Help Desk support needed: self-resolved,2026-03-03 11:55:23,2026-03-03 11:55:25,audio issues,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Marked as self-resolved; no help desk assistance.,['self-resolved'],True,Unknown
INC48695842,No Help Desk support needed: self-resolved,2026-03-02 07:14:21,2026-03-02 07:14:23,GENESYS ISSUE,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,"Stated ""No Help Desk support needed: self-resolved"" maps directly to User Self-Resolved.","['self-resolved', 'no help desk']",False,User_Error
INC48695934,No Help Desk support needed: self-resolved,2026-03-02 07:17:15,2026-03-02 07:17:18,system issue,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.95,Description indicates self-resolved and no Help Desk involvement.,"['self-resolved', 'no Help Desk support needed']",True,Unknown
INC48739550,No Help Desk support needed: self-resolved,2026-03-03 15:54:30,2026-03-03 15:54:32,CALL DROP WHILE PROVIDING THE INFORMATION,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.99,Ticket explicitly states no help desk support needed and self-resolved.,"['self-resolved', 'no help desk']",True,Unknown
INC48731823,No Help Desk support needed: self-resolved,2026-03-03 11:53:34,2026-03-03 11:53:37,Call Dropped,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,1.0,Ticket explicitly states no Help Desk support needed and self-resolved.,"['self-resolved', 'no help desk support']",True,Unknown
INC48704974,No Help Desk support needed: self-resolved,2026-03-02 11:13:23,2026-03-02 11:13:25,LP ISSUE,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Clear indication in description that user self-resolved and no help desk support is needed.,"['No Help Desk support needed', 'self-resolved']",True,Unknown
INC48696802,No Help Desk support needed: self-resolved,2026-03-02 07:46:48,2026-03-02 07:46:49,"Call Dropped was reported for call: 6304547112 / While verifying information from provider, call got disconnected. Reported to supervisor",Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Self-resolved per description; classify as user self-resolved operational event.,"['self-resolved', 'No Help Desk support needed']",True,Unknown
INC48699689,No Help Desk support needed: self-resolved,2026-03-02 09:02:34,2026-03-02 09:02:36,device restarted due to update,Closed by Caller,,,,,,,ProcessInformational,,User Self-Resolved,0.98,Ticket explicitly states no Help Desk support needed and self-resolved.,"['No Help Desk support needed', 'self-resolved']",True,Unknown
