in_id,assignment,first_assignment_group,brief_description,opened_at,closed_at,action,resolution,update_action_ess,uh_ess_errormsg,update_action,comments,uh_monitoring_notes,ai_l1,ai_l2,ai_l3,vendor,ai_confidence,ai_self_resolved,ai_rationale,ai_keywords,ai_root_cause_indicator,ai_root_cause
INC47979049,OGS_IT_ServiceDesk,OGS_IT_SERVICEDESK,eSSO Adaptive Authentication - Unable to find issue for eSSO Adaptive Authentication,2026-01-23 05:49:50,2026-01-23 05:53:18,Yes actually I'm trying to log in in my system but I'm not able to log in. I have tried multiple times it's showing incorrect password.,Guide user to set up eSSO,Yes actually I'm trying to log in in my system but I'm not able to log in. I have tried multiple times it's showing incorrect password.,Unable to find issue for eSSO Adaptive Authentication,"01/23/2026 05:53:18 - DANIEL PAUL PERMIA (Work notes)
Call Summarization from IM:
^UUID: 01156E7QBOCDJF4U0RRHO2LAES079LFD^
Summary:
- Product/Features/Services: Password reset for laptop login issues
- Issue/Issues: Caller unable to log in due to incorrect password
- Troubleshooting: 
  - Verified caller's identity via last 4 digit of pancard+last 4 digit of machine name
  - Confirmed the use of Wi-Fi connection
  - Attempted to reset password using a different device
  - Instructed caller to unplug all devices and perform a power reset on the laptop
  - Checked network connection status and ensured it was connected
  - Initiated a three-way call with the caller's manager for password reset approval> manger is OOO>3way call with skip manager
  - Applied for an exemption to allow login using the password
-setup eSSO 
- Resolution: Password was successfully reset after manager approval, and caller was able to log in and set up Windows Hello credentials.

chat log ;
Hello Chandra, Praveen 
 
This is Dan from IT Service Desk. I'm reaching out on behalf of ZOYA SAMAN (001415118). This is regarding for password reset -INC47978744
 
In order for us to reset Zoya password we need you to verify and approve the the request  via 3 way call.
 
May I ask  for your phone number ?
 
Hi Praveen since we did not receive any response. We will move the ticket to cancel/withdrawn  for now. User might  call later and my colleague might connect with you for 3 way call approval.
 
Sure 
 
Im still in call with Zoya. Can i ask for your phone number so I can drag you in call 
 
My number is8088446502
 
Trying to call
 
Thank you
 

01/23/2026 05:51:12 - DANIEL PAUL PERMIA (Work notes)

Knowledge article KB0139303: 
eSSO Adaptive Authentication - Unable to find issue for eSSO Adaptive Authentication

01/23/2026 05:49:50 - DANIEL PAUL PERMIA (Work notes)
Incident Caller Cloned from INC47978744",AA-SelfService application will allow employees to pre-register and update their information with AA system after proper authentication and verification. The design and specs have been settled on after discussions with IRM. application will be in use on corporate apps.,,UserAccessAuthentication,IdentityAccess,MFA/SSO Issues,,0.68,False,eSSO Adaptive Authentication relates to enterprise SSO/MFA; user unable to find issue indicates authentication-related support.,"['eSSO', 'Adaptive Authentication', 'SSO', 'MFA']",User_Error,User unable to locate the appropriate eSSO adaptive authentication issue/ticket; likely misnavigation or misunderstanding.
INC47979083,TSC SELF SERVICE,TSC SELF SERVICE,No Help Desk support needed: self-resolved,2026-01-23 05:54:00,2026-01-23 05:54:01,network issue in windows machine at office,Closed by Caller,No Help Desk support needed: self-resolved,,,,,ProcessInformational,OperationalEvents,User Self-Resolved,,0.95,True,Explicitly self-resolved; no help desk needed.,"['self-resolved', 'No Help Desk support']",Unknown,Issue resolved by user; no cause provided.
INC47979069,OGS_IT_ServiceDesk,OGS_IT_SERVICEDESK,Change / Reset MS Domain Password (Windows),2026-01-23 05:53:06,2026-01-23 05:59:07,Unable to login to my new replaced laptop - forgot ms password,,Unable to login to my new replaced laptop - forgot ms password,Change / Reset MS Domain Password (Windows),"01/23/2026 05:59:05 - PETA KUMAR (Work notes)
^UUID: 01156E7QBOCDJF4U0RRHO2LAES079LJG^
Summary:
- Product/Features/Services: New laptop login assistance
- Issue/Issues: Unable to log into new laptop due to forgotten password
- Troubleshooting: 
- Confirmed the caller's identity, last 4 digits of ssn, month and year of joining date in USP and gathered necessary information
  - Instructed caller to access helpme.optum.com on their mobile phone
  - Confirmed that the site could not be reached
  - Explained the need for a temporary password from the manager
  - Informed caller about the requirement for two-factor authentication enrollment
  - Attempted to reach the manager for a temporary password
- Resolution: Caller was advised to contact their manager for a temporary password and to reach out to IT services when the manager is available.

01/23/2026 05:53:06 - PETA KUMAR (Additional comments)
Unable to login to my new replaced laptop - forgot ms password

01/23/2026 05:53:06 - PETA KUMAR (Work notes)
Incident created from Interaction IMS1408703",,,UserAccessAuthentication,IdentityAccess,Password Reset,,0.95,False,Request to change/reset MS Domain password directly matches IdentityAccess > Password Reset.,"['Password Reset', 'MS Domain', 'Windows']",User_Error,User forgot or needs to change expired domain password.
INC47979090,OGS_IT_ServiceDesk,OGS_IT_SERVICEDESK,NDB (Network Database) - Unable to Log In NDB,2026-01-23 05:54:35,2026-01-23 06:01:46,I want to change my password for NDB,Guided the user to change password from secure and enter temporary password for RACF,I want to change my password for NDB,I want to change my password for NDB,"01/23/2026 06:01:46 - REPAKA SNEHITH (Work notes)
Call Summarization from IM:
^UUID: 01HM5A7RBGCDJ0AR2FRHO2LAES079NM1^
Summary:
- Product/Features/Services: NDP password reset assistance
- Issue/Issues: User unable to log in due to password issues
- Troubleshooting: 
  - verified with last Four digits SSN and Machine's serial number Last four characters via USP
  - Took remote access of the caller's screen
  - Guided the caller to change their NDP password
  - Instructed the caller on password criteria (8 characters, non-numeric first and last characters, must include special character)
  - Assisted the caller in entering a temporary password
  - Provided instructions to re-enter the new password
  - Explained the restrictions on password reuse and user ID inclusion
  - Suggested minimizing the screen for better visibility
- Resolution: The caller successfully reset their NDP password and was able to log in. A ticket was created for reference, and the issue was marked for pending closure.

01/23/2026 05:54:35 - REPAKA SNEHITH (Work notes)
Incident created from Interaction IMS1408648

01/23/2026 05:54:35 - REPAKA SNEHITH (Additional comments)
I want to change my password for NDB","NDB is UHC's primary source for provider information. It contains physician, hospital, ancillary, facility and other health care provider demographic and credentialing data. Contains billing and service addresses. Contains contract information including rates, provider services, and network services. It supports provider directories and provider searches. It helps to assign primary care providers and performs pricing for physician claims. HPSD's Definition: The software code CI for Network Database. Network Database (NDB) provides enhanced capability and efficiency for physician and health care professional information with releases focused on upgraded infrastructure, demographic maintenance and strategic contracting. SCM Verified as of 10/06/06 ITSM's Definition: The Network Provider Database (NDB) NDB is a central data repository that contains data about medical-related providers for UHG. Its components include data about provider demographics, credentials, groups, hospital and corporate affiliations, managed care contracts, billing, fee schedules, reimbursement information, etc. EPD MPINs uniquely identify providers. VBF 1 (30%) Provide Data for Claim Payments - Online [NDB]: Ability to provide real-time Provider data related to Claim Payments. (TOPS, UFE, etc) VBF 2 (20%) Manage Provider Data [NDB]: Ability to allow business to manually maintain data in NDB. VBF 3 (20%) Directories and Eligibility - Government Portals [NDB]: Ability to provide data for portals involved in UMVS operations. Includes Directories, Referral submission, provider search etc. (TriCare, Link, B2C, etc.) VBF 4 (20%) Directories and Eligibility - Commercial Portals [NDB]: Ability to provide data for portals involved in Commercial operations outside of UMVS. Includes Directories, Referral submission, Eligibility verification, provider search etc. (ISET, IDT, ICUE, B2C, B2B, CES/CDB, etc.) VBF 5 (5%) Provide Data for Claim Payments - Batch [NDB]: Ability to supply Provider data related to Claim Payments to downstream systems via Batch interface. (COSMOS, CSP, PRIME, etc) VBF 6 (5%) Other Critical Provider Data Batch Interfaces [NDB]: Ability to supply Provider data to downstream systems via Batch interface for Directories, Data Warehousing, Reporting, partner extracts (EPDE), etc.",,UserAccessAuthentication,IdentityAccess,Account Lockout,,0.75,False,"Unable to log into NDB suggests account access issue, commonly due to lockout or invalid credentials.","['NDB', 'Network Database', 'Unable to log in', 'account']",Security,User account likely locked or credentials invalid for NDB.
INC47979056,OGS_IT_ServiceDesk,OGS_IT_SERVICEDESK,Ivanti Application Control - Customer unable to run application with elevated rights,2026-01-23 05:51:52,2026-01-23 06:04:10,I got ACCELQA license and it is enable for me but there is a local server we need to install but it is asking privileges to installation so I need to install that one ACCELQA agent installer,Caller was able to install the ACCELQA agent using admin privileges after signed off and sign in back again,I got ACCELQA license and it is enable for me but there is a local server we need to install but it is asking privileges to installation so I need to install that one ACCELQA agent installer,unauthorized software,"01/23/2026 06:04:10 - MAMIDI AKHILA (Work notes)
Call Summarization from IM:
^UUID: 00DL0C7V9KCDJ04JVRR1O2LAES079GTV^
Summary:
- Product/Features/Services: ACCELQA  agent installer installation assistance
- Issue/Issues: Caller unable to install ACCELQA agent due to privilege issues
- Troubleshooting: 
-verified user with last 4 of SSN and joining date via USP 
  - Took remote access to assist with installation
  - Instructed caller to open support.uhc.com and provide session key
  - Checked for admin access and ran installation with admin privileges
 - unable to find admin privileges option so ran the whoami /groups in command prompt
  - Advised caller to sign out and sign back into VDI
  - Confirmed network connection and location of caller (working from home)
  - Guided caller on how to access admin options for installation
- Resolution: Caller was able to install the ACCELQA agent using admin privileges after troubleshooting steps. Ticket moved to pending closure.

01/23/2026 05:59:52 - MAMIDI AKHILA (Work notes)

Knowledge article KB0149884: 
Ivanti Application Control - Customer unable to run application with elevated rights

01/23/2026 05:51:52 - MAMIDI AKHILA (Additional comments)
I got ACCELQA license and it is enable for me but there is a local server we need to install but it is asking privileges to installation so I need to install that one ACCELQA agent installer

01/23/2026 05:51:52 - MAMIDI AKHILA (Work notes)
Incident created from Interaction IMS1408694","Used to control various security measures on Optum supported workstations, such as white/blacklisting, rights elevations, and other privileges and restrictions.",,EndpointManagement,Security_Baselines,Device Control,Ivanti,0.9,False,Ivanti Application Control blocking elevation is a device/application control policy under security baselines.,"['Ivanti Application Control', 'elevated rights', 'policy']",Configuration,Ivanti Application Control policy configuration is blocking application elevation.
INC47979221,TSC HELP DESK - SPT,TSC HELP DESK - SPT,No Help Desk support needed : self-resolved,2026-01-23 06:05:20,2026-01-23 06:05:21,my laptop is not working,Self-Resolved Ticket Closed via IVR,,,,,,ProcessInformational,OperationalEvents,User Self-Resolved,,0.95,True,Explicitly self-resolved; no help desk needed.,"['self-resolved', 'No Help Desk support']",Unknown,Issue resolved by user; no cause provided.
INC47979211,OGS_IT_ServiceDesk,OGS_IT_SERVICEDESK,PPM Optics - Timesheet Audit Portlet,2026-01-23 06:04:53,2026-01-23 06:10:37,the PPM timesheet page is not loading,Noted potential connectivity issue requiring authentication in Zscaler,the PPM timesheet page is not loading,unable to load,"01/23/2026 06:10:01 - PARTHASARATHI ROUTRAY (Work notes)
Call Summarization from IM:
^UUID: 00VLNJNVF4CDJF1403RHO2LAES079F7K^
Summary:
- Product/Features/Services: PPM timesheet access issue
- Issue/Issues: Unable to open PPM timesheet
- Troubleshooting: 
  - Verified caller's last 4 digits of SSN and laptop serial number
  - Initiated remote screen share using Bomgar
  - Provided session key for remote access
  - Checked for any confidential files before screen sharing
  - Suggested trying to open the PPM page on Google Chrome
  - Noted potential connectivity issue requiring authentication
  - Created a ticket for the issue
- Resolution: The PPM timesheet is now loading, and the user can close the created ticket from their email.

01/23/2026 06:08:43 - PARTHASARATHI ROUTRAY (Work notes)

Knowledge article KB0135389: 
PPM Optics - How to Use the Timesheet Audit Portlet

01/23/2026 06:04:53 - PARTHASARATHI ROUTRAY (Additional comments)
the PPM timesheet page is not loading

01/23/2026 06:04:53 - PARTHASARATHI ROUTRAY (Work notes)
Incident created from Interaction IMS1408718",,,WebApplications,UserInterface,Other,,0.65,False,Timesheet Audit Portlet in PPM Optics is a UI component; issue unspecified so classify under UI > Other.,"['PPM Optics', 'Timesheet Audit Portlet', 'UI']",Unknown,Unspecified issue with the Timesheet Audit portlet UI.
INC47979294,TSC HELP DESK - SPT,TSC HELP DESK - SPT,No Help Desk support needed: self-resolved,2026-01-23 06:12:48,2026-01-23 06:12:49,VPN would not connect,Closed by Caller,VPN would not connect,,,,,ProcessInformational,OperationalEvents,User Self-Resolved,,0.95,True,Explicitly self-resolved; no help desk needed.,"['self-resolved', 'No Help Desk support']",Unknown,Issue resolved by user; no cause provided.
INC47979301,TSC HELP DESK - SPT,TSC HELP DESK - SPT,No Help Desk support needed: self-resolved,2026-01-23 06:13:45,2026-01-23 06:13:46,BIOS update/PC restarted,Closed by Caller,BIOS update/PC restarted,,,,,ProcessInformational,OperationalEvents,User Self-Resolved,,0.95,True,Ticket explicitly states no help desk support needed and self-resolved; maps directly to ProcessInformational > OperationalEvents > User Self-Resolved.,"['self-resolved', 'no help desk support']",User_Error,Issue resolved by user without assistance; likely minor user action/configuration corrected.
INC47979317,TSC HELP DESK - SPT,TSC HELP DESK - SPT,No Help Desk support needed: self-resolved,2026-01-23 06:15:24,2026-01-23 06:15:25,My Automations wasn't opening up this morning and I couldn't get my emulators to open either. I had to restart them.,Closed by Caller,My Automations wasn't opening up this morning and I couldn't get my emulators to open either. I had to restart them.,,,,,ProcessInformational,OperationalEvents,User Self-Resolved,,0.95,True,Description indicates self-resolved; aligns with ProcessInformational > OperationalEvents > User Self-Resolved.,"['self-resolved', 'no help desk support']",User_Error,User was able to correct the issue on their own; likely a user action or simple setting fix.
INC47979219,OGS_IT_ServiceDesk,OGS_IT_SERVICEDESK,Servers - Unable To Connect To Server. PuTTY Fatal Error,2026-01-23 06:05:14,2026-01-23 06:15:29,"Connect to a server using Putty, which has been working for another colleague like he is not using video. He has windows, Umm, but my team member is there, uh, being able to connect to VDA that particular server, but uh, as I'm using VDA, maybe I don't know, uh, it's, I'm unable to.
Access the visinity actually.",- Resolution: Instructed user that putty can only be accessed inside SAW machine.,"Connect to a server using Putty, which has been working for another colleague like he is not using video. He has windows, Umm, but my team member is there, uh, being able to connect to VDA that particular server, but uh, as I'm using VDA, maybe I don't know, uh, it's, I'm unable to.
Access the visinity actually.",cannot connect to Putty,"01/23/2026 06:16:10 - KESHIA JENEL LANTERNA (Work notes)
Call Summarization from IM:
^UUID: 00DTE77R5OCDJ4LO13RHO2LAES079LK0^
Summary:
- Product/Features/Services: VDI access using Putty and Secure Workbench
- Issue/Issues: Unable to connect to a server using Putty from VDI
- Troubleshooting: 
-Verified via USP the last 4 digits of SSN and vendor company
  - Suggested using Bomgar for remote session to troubleshoot
  - Checked if VDI was installed on the caller's machine
  - Instructed caller to request VDI installation from App Store
  - Provided guidance on accessing Secure Workbench and logging in
  - Explained the process for verifying identity and accessing Putty
- Resolution: Instructed user that putty can only be accessed inside SAW machine.
-Ticket tagged as pending closure.

01/23/2026 06:12:00 - KESHIA JENEL LANTERNA (Work notes)

Knowledge article KB0146843: 
Servers - Unable To Connect To Server. PuTTY Fatal Error

01/23/2026 06:05:14 - KESHIA JENEL LANTERNA (Additional comments)
Connect to a server using Putty, which has been working for another colleague like he is not using video. He has windows, Umm, but my team member is there, uh, being able to connect to VDA that particular server, but uh, as I'm using VDA, maybe I don't know, uh, it's, I'm unable to.
Access the visinity actually.

01/23/2026 06:05:14 - KESHIA JENEL LANTERNA (Work notes)
Incident created from Interaction IMS1408705",Used for services not defined in ServiceNow,Not a defined Service that can be monitored.,Network,ConnectivityIssues,General,PuTTY,0.75,False,‘Unable to connect to server’ with ‘PuTTY Fatal Error’ suggests SSH connection failure due to network/firewall connectivity; fits Network > ConnectivityIssues > General.,"['PuTTY Fatal Error', 'Unable to connect', 'Server', 'SSH']",Infrastructure,Network or firewall issue preventing SSH connectivity to the server via PuTTY.
INC47979321,TSC HELP DESK - SPT,TSC HELP DESK - SPT,No Help Desk support needed: self-resolved,2026-01-23 06:15:47,2026-01-23 06:15:49,system issue,Closed by Caller,system issue,,,,,ProcessInformational,OperationalEvents,User Self-Resolved,,0.95,True,"Marked as self-resolved, no help desk needed; matches User Self-Resolved informational event.","['self-resolved', 'no help desk support']",User_Error,User corrected the problem without support; likely minor configuration or usage issue.
INC47979333,TSC HELP DESK - SPT,TSC HELP DESK - SPT,No Help Desk support needed: self-resolved,2026-01-23 06:16:28,2026-01-23 06:16:29,Yesterday my genesys would not load. I had to clear cache and restart.,Closed by Caller,Yesterday my genesys would not load. I had to clear cache and restart.,,,,,ProcessInformational,OperationalEvents,User Self-Resolved,,0.95,True,Self-resolved per description; ProcessInformational > OperationalEvents > User Self-Resolved.,"['self-resolved', 'no help desk support']",User_Error,Issue addressed by user action without assistance.
INC47979338,TSC HELP DESK - SPT,TSC HELP DESK - SPT,No Help Desk support needed: self-resolved,2026-01-23 06:16:40,2026-01-23 06:16:41,if not can u please create an incident and assign to power bi team,Closed by Caller,if not can u please create an incident and assign to power bi team,,,,,ProcessInformational,OperationalEvents,User Self-Resolved,,0.95,True,Ticket indicates self-resolved; fits informational event for user self-resolution.,"['self-resolved', 'no help desk support']",User_Error,Likely simple user or configuration correction resolved the issue.
INC47979282,TSC HELP DESK - SPT,TSC HELP DESK - SPT,Cannot Connect to VPN or Internet / Network (Cisco) on Windows - PERSONAL - WIRED,2026-01-23 06:11:40,2026-01-23 06:17:35,I keep getting a connection failed error to the VPN.,End the task for the vpna,I keep getting a connection failed error to the VPN.,Cannot Connect to VPN or Internet / Network (Cisco) on Windows,"01/23/2026 06:16:57 - GARYL LACNO (Work notes)

Knowledge article KB0109070: 
Cannot Connect to VPN or Internet / Network (Cisco) on Windows

01/23/2026 06:16:35 - GARYL LACNO (Work notes)
Verified by the IVR.

Internet is personal
End the task for the vpna
Relaunch it and now the vpn is connected and working now
No other concerns.

^UUID: 0129T6KM8GCE18802NFKI2LAES0754MT^
Summary:
- Product/Features/Services: Cisco Secure Client VPN connection
- Issue/Issues: Connection failed error to the VPN
- Troubleshooting: 
  - Confirmed the caller's name and issue with VPN connection
  - Asked the caller to open Task Manager
  - Checked for the Cisco Secure Client application in Task Manager
  - Instructed the caller to end the task for the Cisco Secure Client
  - Confirmed the application was closed and instructed to relaunch it
  - Noted the connection status and advised on disregarding the policy server message
  - Verified if applications were working after reconnecting
- Resolution: The VPN connection was successfully established, and the caller's applications were accessible.

01/23/2026 06:11:40 - GARYL LACNO (Additional comments)
I keep getting a connection failed error to the VPN.

01/23/2026 06:11:40 - GARYL LACNO (Work notes)
Incident created from Interaction IMS1408753",Used for services not defined in ServiceNow,Not a defined Service that can be monitored.,Network,VPN_RemoteAccess,Cisco Secure,Cisco,0.85,False,Cannot connect to VPN (Cisco) on Windows over wired connection; aligns to Network > VPN_RemoteAccess > Cisco Secure.,"['Cannot connect', 'VPN', 'Cisco', 'Windows', 'Wired', 'Personal']",Infrastructure,"Cisco Secure client unable to establish VPN over wired network, likely due to local network restrictions or connectivity issues."
INC47979079,OGS_IT_ServiceDesk,OGS_IT_SERVICEDESK,Cannot Connect to VPN or Internet / Network (Cisco) on Windows /Hathway Broadband / Wireless,2026-01-23 05:53:38,2026-01-23 06:17:38,I was facing the VPN issue but then it got connected.,-Connect to VPN Helper and update policy.,I was facing the VPN issue but then it got connected.,Cannot Connect to VPN or Internet / Network (Cisco) on Windows /Hathway Broadband / Wireless,"01/23/2026 06:18:25 - MICHELLE BONTILAO (Work notes)
-Unable to attach a call summary, because it's not generating.

01/23/2026 06:17:47 - MICHELLE BONTILAO (Work notes)
Call Summarization from IM:
^UUID: 00VLNJNVF4CDJF1403RHO2LAES079F6O^
Summary:
- Product/Features/Services: VPN connection troubleshooting
- Issue/Issues: Caller experiencing recurring VPN connection issues
- Troubleshooting: 
  - Confirmed caller's internet service provider and connection status
  - Asked caller to share screen via Bomgar
  - Suggested force quitting Cisco secure client and restarting the device
  - Advised deleting cookies and reconnecting to Wi-Fi
  - Instructed caller to check mobile device connection to home Wi-Fi
  - Guided caller to open terminal and flush DNS
  - Assisted in running commands to resolve connection issues
- Resolution: The VPN connection issue was resolved, and the caller was advised to monitor the connection status and replicate troubleshooting steps if the issue recurs.

01/23/2026 06:17:38 - MICHELLE BONTILAO (Work notes)
^UUID: 00VLNJNVF4CDJF1403RHO2LAES079F6O^
Summary:
- Product/Features/Services: VPN connection troubleshooting
- Issue/Issues: Caller experiencing recurring VPN connection issues
- Troubleshooting: 
  - Confirmed caller's internet service provider and connection status
  - Asked caller to share screen via Bomgar
  - Suggested force quitting Cisco secure client and restarting the device
  - Advised deleting cookies and reconnecting to Wi-Fi
  - Instructed caller to check mobile device connection to home Wi-Fi
  - Guided caller to open terminal and flush DNS
  - Assisted in running commands to resolve connection issues
- Resolution: The VPN connection issue was resolved, and the caller was advised to monitor the connection status and replicate troubleshooting steps if the issue recurs.


_______________________________________
Work notes
-Verified the last 4 digits of SSN and the vendor name via USP.
-Initiate Bomgar, but unsuccessful.
-Force quit Cisco Secure Client.
-Restart Mac computer.
-Connect to VPN on Mac.
-Delete cookies and reconnect WiFi.
-Refresh Mac network connection and reconnect to VPN.
-Connect to VPN Helper and update policy.
-This is resolved.


01/23/2026 05:57:37 - MICHELLE BONTILAO (Work notes)

Knowledge article KB0132314: 
Cannot Connect to VPN or Internet / Network (Cisco) on Mac

01/23/2026 05:55:12 - MICHELLE BONTILAO (Work notes)

Knowledge article KB0109070: 
Cannot Connect to VPN or Internet / Network (Cisco) on Windows

01/23/2026 05:53:38 - MICHELLE BONTILAO (Work notes)
Incident created from Interaction IMS1408523",Used for services not defined in ServiceNow,Not a defined Service that can be monitored.,Network,VPN_RemoteAccess,Cisco Secure,Cisco,0.85,False,VPN connectivity problem with Cisco on Hathway Broadband wireless; matches VPN remote access using Cisco Secure.,"['Cannot connect', 'VPN', 'Cisco', 'Windows', 'Hathway Broadband', 'Wireless']",Third_Party,Home ISP (Hathway Broadband) wireless connectivity or policies interfering with VPN connection.
INC47979348,TSC HELP DESK - SPT,TSC HELP DESK - SPT,Common Issues for New or Replacement Computers,2026-01-23 06:17:33,2026-01-23 06:20:31,"I have a question, I don't know if you can help me. I have been sent a new laptop to hook up, and my question is, I have a bunch of Icons on my desktop. Do I have to, excuse me, do I have to save all these or will they be On when I load up my new laptop, hook it up, will all those icons still be there?",Provided instructions and information on saving and transferring files,"I have a question, I don't know if you can help me. I have been sent a new laptop to hook up, and my question is, I have a bunch of Icons on my desktop. Do I have to, excuse me, do I have to save all these or will they be On when I load up my new laptop, hook it up, will all those icons still be there?",Common Issues for New or Replacement Computers,"01/23/2026 06:19:55 - JULIE ANNE PACTORES (Work notes)
^UUID: 01156E7QBOCDJF4U0RRHO2LAES079LN3^
Summary:
- Product/Features/Services: New laptop setup and file transfer process
- Issue/Issues: Caller is concerned about losing desktop icons and files when setting up a new laptop
- Troubleshooting: 
  - Verified caller's identity and gathered information about the desktop icons
  - Explained that files on the desktop and in documents will auto transfer to the new laptop
  - Informed caller that some applications may need to be reinstalled from the App Store
  - Suggested using the Ivanti transfer file application for transferring data
  - Recommended keeping the old computer until the new one is fully set up
  - Confirmed that saving files to OneDrive ensures they will be accessible on the new laptop
- Resolution: Caller was reassured that files would transfer automatically and that using OneDrive is a safe method for saving important documents.

01/23/2026 06:19:12 - JULIE ANNE PACTORES (Work notes)

Knowledge article KB0099481: 
Common Issues for New or Replacement Computers

01/23/2026 06:17:33 - JULIE ANNE PACTORES (Additional comments)
I have a question, I don't know if you can help me. I have been sent a new laptop to hook up, and my question is, I have a bunch of Icons on my desktop. Do I have to, excuse me, do I have to save all these or will they be On when I load up my new laptop, hook it up, will all those icons still be there?

01/23/2026 06:17:33 - JULIE ANNE PACTORES (Work notes)
Incident created from Interaction IMS1408761",Used for services not defined in ServiceNow,Not a defined Service that can be monitored.,EndUserSupport,SupportRequests,Service Requests,,0.6,False,‘Common Issues for New or Replacement Computers’ suggests general support/service request for device setup/troubleshooting; maps to EndUserSupport > SupportRequests > Service Requests.,"['Common issues', 'New computer', 'Replacement computer']",Configuration,Typical initial device setup/configuration issues associated with new or replacement computers.
INC47979028,TSC HELP DESK - SPT,TSC HELP DESK - SPT,Cisco Secure Client - No Connection - Granite - Wired,2026-01-23 05:46:49,2026-01-23 06:21:42,I was not able to connect to the internet,- powercycle devices for 5 mins,I was not able to connect to the internet,No Connection,"01/23/2026 06:23:20 - MA RACHELLE CORTES (Work notes)
Check LOA and PC status Y/N:n
Is pc out of the Domaine? Y/N: n
Utilize the Fix my network tool Y/N:n
Power Cycle modem and PC for not less than 5 mins. Y/N:y
reconnect and secure coaxial cable from modem Y/N:n
Connect to other VPN gateway (VPN HELPER) Y/N:n
check  Modem light status Y/N:n
Try a different ethernet cable Y/N:n
switch to other ethernet port on modem (if available) Y/N:n
switch to another USB-C port on laptop  Y/N:n
If provisioned ISP, can cx connect hardwired to Personal ISP?  Y/N:n
     a.If on a Fixed Wireless Access connection, ask where in the house is the router located: 
     Note: if user is in an office, they're using CISE, not VPN.n
Bypass docking station to connect to Wi-Fi Y/N:n
If user can connect to the internet but not VPN:n
    - Tried pinging vpn.bc.corpvpnsvcs.com (check updated KB) Y/N:n
    - Flush DNS (check updated KB) Y/N:n
    - Adjust network adapter settings (check updated KB) Y/N:n
    - Turn off power mgmt for USB (check updated KB) Y/N:n
    - Connect to VPN Helper (check updated KB) Y/N:n
   - Renew Machine certificate (check updated KB) Y/N:n
 Hard reset of docking station and validate correct power adapter wattage Y/N:n
contact COACH Y/N:n


01/23/2026 06:22:25 - MA RACHELLE CORTES (Work notes)
Call Summarization from IM:
^UUID: 00DL0C7V9KCDJ04JVRR1O2LAES079GU3^
Summary:
- Product/Features/Services: Internet connection troubleshooting
- Issue/Issues: Unable to connect to the Internet after an update
- Troubleshooting: 
  - Checked the caller's Internet provider and account status
  - Instructed the caller to check cables for loose connections
  - Suggested a sequence power cycle for both the computer and modem
  - Waited for 5 minutes for the connection to reset
  - Verified the status of the modem lights
  - Attempted to access Bomgar for remote assistance
  - Advised the caller to connect to home Internet and check Wi-Fi connectivity
  - Provided a session key for Bomgar access
  - Discussed the need for a sequence power cycle to prevent future issues
- Resolution: The caller was advised to perform a sequence power cycle after updates to maintain Internet connectivity and provided with a session key for Bomgar access.

01/23/2026 06:19:51 - MA RACHELLE CORTES (Work notes)

Knowledge article KB0109070: 
Cannot Connect to VPN or Internet / Network (Cisco) on Windows

01/23/2026 06:19:28 - MA RACHELLE CORTES (Work notes)
- verified via IVR
- ISP: West Wisconsin Telecom/Granite [uhg paid]
- check cables
- powercycle devices for 5 mins
- reconnect to vpn - failed
- tried to use home internet
- bomgar users pc
- undock/redock pc
- run speedtest - 133mbps
- offer self help options

01/23/2026 05:46:49 - MA RACHELLE CORTES (Work notes)
Incident created from Interaction IMS1408658

01/23/2026 05:46:49 - MA RACHELLE CORTES (Additional comments)
I was not able to connect to the internet",VPN software for establishing VPN connectivity for remote users to the UHG network.,,Network,VPN_RemoteAccess,Cisco Secure,Cisco,0.9,False,‘Cisco Secure Client - No Connection - Granite - Wired’ clearly indicates VPN client connection failure with Cisco over Granite wired network; VPN_RemoteAccess > Cisco Secure.,"['Cisco Secure Client', 'No connection', 'Granite', 'Wired', 'VPN']",Third_Party,Granite provider/network conditions blocking or disrupting Cisco Secure VPN connection.
INC47979467,TSC HELP DESK - SPT,TSC HELP DESK - SPT,No Help Desk support needed : self-resolved,2026-01-23 06:29:28,2026-01-23 06:29:29,okay my my computer is not turned on only shows BitLocker recovery I don't know what I need to do,Self-Resolved Ticket Closed via IVR,,,,,,ProcessInformational,OperationalEvents,User Self-Resolved,,0.95,True,"Ticket explicitly states no help desk support needed and was self-resolved, matching ProcessInformational > OperationalEvents > User Self-Resolved.","['self-resolved', 'no help desk support']",Unknown,User resolved issue without assistance; no specific cause stated.
